vocablo,hiperonimo
estático,"Inmóvil,"
estímulo,Aquello
eufemismo,Palabra
evangelista,Persona
evangelizador,Persona
evasor,Persona
exacerbar,Hacer
examen,Prueba
examinador,Persona
exasperar,Hacer
excentricidad,Posición
excitabilidad,Capacidad
excitar,Hacer
excursionista,Persona
excursión,Paseo
excéntrico,Mecanismo
exhalación,Aire
exhalación,Gas
eximir,Permitir
existencia,Tiempo
expectorante,Medicamento
expendio,Lugar
expensas,Costos
explorador,Persona
explotador,Persona
exposición,Tiempo
expositor,Persona
expresar,Hacer
expresividad,Capacidad
extender,Hacer
extinguidor,Aparato
extinguir,Hacer
extra,Actor
extracto,Producto
extremidad,Miembro
fabricante,Persona
facialista,Persona
facilidad,Condiciones
factor,Cantidad
factor,Elemento
factorial,Producto
factura,Documento
fagocitosis,Propiedad
fagáceo,Familia
fajina,Comida
falda,Corte
falla,Rotura
familiarizar,Hacer
fanerógama,Planta
fantasma,Pueblo
fantasía,Capacidad
fanático,Persona
farmacia,Disciplina
farmacéutica,Empresa
farmacéutico,Persona
farol,Lámpara
fe,"Certificar,"
fe,Creencia
fe,Documento
fecundar,Hacer
felicitación,Mensaje
feligrés,Persona
femenino,Género
feminista,Persona
fenología,Ciencia
fenomenología,Ciencia
ferrocarrilero,Persona
ferry,Barco
fertilidad,Capacidad
feudo,Territorio
fiador,Correa
fianza,Garantía
fibrina,Proteína
ficción,Prescripción
fichera,Mujer
ficomiceto,Subclase
fideicomiso,Organismo
fiel,Aguja
fiel,Personas
fierro,Marca
fijador,Objeto
fijador,Sustancia
filatelista,Persona
filete,Borde
filo,Ratero
filología,Ciencia
filosofía,Disciplina
filtro,Dispositivo
filólogo,Persona
filósofo,Persona
fin,Objetivo
fin,Periodo
finado,Persona
finalista,Persona
financiera,Compañía
financiero,Persona
finlandés,Lengua
finta,Movimiento
firmamento,Aspecto
fiscal,Persona
fiscalizar,Vigilar
fisiografía,Ciencia
fisonomía,Aspecto
flan,Postre
flanco,Orden
flash,Dispositivo
flecha,Eje
flete,Precio
flotador,Dispositivo
fluctuación,Diferencia
fluidez,Capacidad
fluidez,Propiedad
foco,Punto
fogata,Fuego
foguear,Hacer
folklore,Disciplina
fondo,Dinero
forajido,Delincuente
forastero,Persona
formador,Oficial
formato,Forma
fosa,Agujero
fosa,Cavidad
fotocopiadora,Establecimiento
fototactismo,Movimiento
fotógrafo,Persona
fracción,Cifra
fractura,Rotura
franquicia,Derecho
frase,Enunciado
frase,Expresión
fregada,Expresar
frenar,Hacer
frenar,Impedir
fresa,Herramienta
fricción,Fuerza
frito,Lograr
frontal,Tela
frontenis,Deporte
frontera,Límite
fructosa,Azúcar
frustrar,Impedir
frutero,Persona
fruticultor,Agricultor
fuelle,Capacidad
fuelle,Utensilio
fuereño,Persona
fuerza,Acción
fuerza,Capacidad
fulgor,Brillo
funcionario,Persona
fundación,Fondo
fundador,Persona
fundición,Fábrica
fundición,Operación
funeraria,Empresa
fusil,Arma
fusión,Cambio
fuste,Armazón
futbol,Deporte
futbolista,Persona
fábrica,Establecimiento
física,Ciencia
físico,Persona
gabardina,Abrigo
galardón,Premio
gallero,Hombre
gallinero,Lugar
gallinácea,Orden
gallito,Hombre
gallito,Juguete
gallo,Flema
gallo,Mechón
gambusino,Persona
gammagrama,Estudio
ganadero,Persona
ganga,Cosa
ganga,Material
ganso,¡Claro
garabato,Dibujo
garabato,Palo
garantía,Seguridad
garita,Caseta
garrote,Instrumento
garrucha,Polea
gas,Aquel
gasolinera,Lugar
gata,Mujer
gato,Juego
gato,Signo
gavilán,Borde
gel,Forma
genealogía,Documento
generador,Máquina
generatriz,Máquina
genialidad,Acto
gentilicio,Palabra
geofísica,Ciencia
geofísico,Persona
geografía,Ciencia
geología,Ciencia
gerente,Persona
geógrafo,Persona
geólogo,Persona
giba,Abultamiento
gimnasta,Persona
girar,Hacer
giro,Vuelta
giróscopo,Disco
giróstato,Dispositivo
gladiador,Hombre
glosa,Versos
glucagón,Hormona
glándula,Cualquiera
glóbulo,Célula
gobernador,Persona
gobernadora,Mujer
golf,Juego
golfa,Mujer
golfo,Hombre
gorila,Militar
gota,Forma
gozne,Articulación
gozne,Dispositivo
grabador,Persona
gradiente,Variación
grafismo,Trazo
gramema,Morfema
gramático,Persona
gramínea,Familia
granero,Lugar
granjero,Persona
granuja,Persona
granulocito,Célula
grapa,Úlcera
gratitud,Sentimiento
gravamen,Costo
gravar,Hacer
greca,Adorno
griego,Lengua
grifo,Conducto
grillo,Persona
griterío,Confusión
gritón,Persona
grrr,Onomatopeya
grumete,Joven
gruta,Cavidad
gruñido,Sonido
grúa,Máquina
guacamole,Salsa
guante,Prenda
guardaespaldas,Persona
guardarropa,Mueble
guardia,Persona
guardián,Persona
guarida,Lugar
guarismo,Cantidad
guau,Expresión
guerrillero,Persona
guitarra,Música
guitarrista,Persona
guión,Escrito
gusto,Capacidad
gusto,Inclinación
gusto,Placer
gusto,Sabor
guía,Manual
guía,Persona
guía,Vara
gónada,Glándula
haber,Bienes
haber,Tener
habilitación,Financiamiento
habitación,Lugar
habituar,Hacer
hablador,Persona
hacer,Expresión
hacha,Herramienta
hagiógrafo,Autor
halogenación,Proceso
hambre,Sensación
harina,Polvo
hechicero,Persona
heliófita,Planta
hematoma,Lesión
hematozoario,Parásito
hembrilla,Lazo
hemiplejia,Parálisis
hemíptero,Insecto
henequenero,Persona
henequén,Fibra
heraldo,Persona
heredero,Persona
hereje,Persona
hermano,Persona
heroica,Droga
heroína,Droga
herrero,Hombre
heteropoliácido,Ácido
hidroavión,Avión
hidroeléctrica,Instalación
hidrología,Ciencia
hidrácido,Sustancia
hierba,Persona
hierbero,Persona
hijo,Persona
hilera,Pieza
himenóptero,Insecto
hinchar,Hacer
hindú,Persona
hipnotista,Persona
hipocorístico,Forma
hippie,Persona
hipérbola,Línea
hipócrita,Persona
histamina,Sustancia
historia,Disciplina
historiador,Persona
hockey,Juego
hoguera,Fuego
hombre,Buzo
hombre,Persona
hombrera,Cojincillo
homicida,Persona
homosexual,Persona
honor,Dignidad
honorarios,Pago
horizonte,Línea
hormiguero,Lugar
horqueta,Soporte
horquilla,Herramienta
horticultor,Persona
hospedaje,Alojamiento
hotelero,Persona
huave,Lengua
hueco,Espacio
hueco,Tiempo
huelguista,Persona
huella,Resto
hueva,Masa
huevo,Célula
hulero,Persona
humanizar,Hacer
humor,Capacidad
humor,Sustancia
humorista,Persona
hundir,Hacer
huérfano,Fracción
huésped,Persona
hábito,Disciplina
hábito,Vestido
hélice,Espiral
héroe,Persona
ibero,Lengua
ibérico,Lengua
identidad,Signo
idiota,Persona
idólatra,Persona
ignición,Dispositivo
ignorancia,Desconocimiento
igualar,Hacer
igualdad,Expresión
ilegal,Inmigrante
ilion,Hueso
iluminación,Técnica
ilusionista,Mago
imagen,Opinión
imago,Insecto
imitador,Actor
impacientar,Hacer
impacto,Huella
impedimento,Cosa
impedir,Hacer
implicado,Persona
implicar,Hacer
imponderable,Acontecimiento
imponer,Hacer
impulsar,Hacer
impulso,Fuerza
imán,Atracción
imán,Cuerpo
incendio,Fuego
incentivo,Algo
incidencia,Repercusión
incidente,Contratiempo
inclinación,Dirección
incondicional,Persona
inconveniente,Cosa
incrementar,Hacer
inculpado,Persona
indefinido,Artículo
indefinido,Pronombre
indeterminado,Artículo
indigente,Persona
indio,Persona
individualismo,Actitud
indocumentado,Persona
indoeuropeo,Lengua
inducir,Hacer
inducir,Provocar
industrial,Persona
indígena,Persona
inercia,Fuerza
infantería,Tropa
infidelidad,Acto
informador,Persona
informante,Persona
informar,Hacer
infracción,Acto
infusión,Líquido
ingeniero,Persona
ingenio,Lugar
inglés,Lengua
iniciado,Persona
iniciador,Persona
iniciativa,Cualidad
inmigrante,Persona
inmortalizar,Hacer
inmunidad,Privilegio
inmunizar,Hacer
innovación,Cosa
inquilino,Parásito
inquilino,Persona
insecticida,Sustancia
insecto,Clase
insectívoro,Orden
insignia,Distintivo
insignia,Objeto
inspector,Persona
inspirar,Hacer
instancia,Institución
instantánea,Fotografía
instinto,Facilidad
instructor,Persona
instrumentista,Músico
instrumento,Objeto
insulto,Acción
insurgente,Persona
integrar,Hacer
intelectual,Persona
inteligencia,Facultad
intemperismo,Daño
intención,Propósito
intendente,Persona
intento,Acto
intento,Esfuerzo
interesado,Persona
interesar,Hacer
interferencia,Efecto
interferencia,Fenómeno
intermediario,Persona
internacionalismo,Doctrina
internista,Médico
interno,Persona
interruptor,Aparato
intersticio,Tiempo
interés,Ganancia
intoxicación,Envenenamiento
introducir,Hacer
intruso,Persona
intérprete,Persona
invento,Cosa
inventor,Persona
inversionista,Persona
invertebrado,Animal
investigador,Persona
invitado,Persona
ion,Átomo
ir,Exclamación
iridácea,Familia
irregularidad,Comportamiento
irresponsable,Persona
isométrico,Dibujo
isóptero,Insecto
isótopo,Cuerpo
italiano,Lengua
jabalina,Arma
jabón,Sustancia
japonés,Lengua
jardinero,Persona
jarro,Tubo
jaulero,Ratero
jefatura,Oficina
jefe,Persona
jerarca,Persona
jesuita,Religioso
jet,Avión
jinete,Persona
joder,Expresiones
joloche,Hoja
jornada,Tiempo
jornal,Salario
jornalero,Persona
jorobado,Persona
joven,Persona
joyería,Lugar
jubilación,Dinero
juego,Actividad
juego,Actividades
juego,Hacer
juego,Plan
jugador,Persona
jugo,Líquido
juguete,Objeto
juicio,Comprensión
juicio,Opinión
juicio,Proceso
junior,Hijo
junta,Pieza
junta,Unión
juntar,Hacer
jurista,Persona
justo,Persona
juzgado,Lugar
juzgador,Persona
la,Indica
laboratorista,Persona
labrador,Persona
labriego,Persona
laca,Sustancia
lacayo,Persona
ladrón,Enchufe
ladrón,Persona
lady,Lesbiana
laja,Piedra
lama,Estiércol
lanchero,Persona
lanzadardos,Arma
lanzar,Hacer
lapicero,Utensilio
lapidario,Persona
lapso,Tiempo
largo,Expresión
las,Indica
lata,Molestia
latencia,Tiempo
latifundista,Persona
lavadero,Lugar
lavado,Líquido
lavandero,Persona
lavar,Aparentar
lavativa,Utensilio
lazador,Persona
lección,Enseñanza
lechada,Suerte
lechero,Persona
lectura,Escrito
legado,Persona
lema,Proposición
lengua,Sistema
lepidóptero,Insecto
lesionado,Persona
lesión,Daño
letra,Documento
letra,Escritura
letra,Signo
leva,Pieza
levantado,Persona
lexema,Morfema
lexicología,Disciplina
lexicógrafo,Persona
ley,Norma
libertad,Posibilidad
libertador,Persona
libertino,Persona
libre,Posibilidad
librero,Mueble
librero,Persona
libreto,Texto
licencia,Permiso
licenciado,Persona
licenciatura,Título
licuado,Bebida
lideresa,Mujer
liga,Relación
lija,Cartón
limosna,Dinero
limosnero,Persona
limpia,Acto
limpiado,Trabajo
linde,Línea
lingüista,Persona
lingüística,Ciencia
lino,Fibra
linotipista,Persona
liquen,Planta
lirismo,Cualidad
lisérgico,Sustancia
literato,Persona
literatura,Arte
litigante,Persona
liturgo,Sacerdote
llamado,Persona
llave,Dispositivo
llave,Instrumento
llave,Medio
llave,Símbolo
llavero,Utensilio
lleno,Asistencia
llevar,Hacer
locatario,Persona
loco,Persona
locomotora,Vehículo
locutor,Persona
logaritmo,Exponente
lonchería,Establecimiento
lorantácea,Familia
los,Indica
los,Señala
lubricante,Sustancia
lucha,Esfuerzo
luchador,Persona
lugar,Antes
lugarteniente,Persona
luna,Parte
lunada,Fiesta
lustre,Brillo
luto,Periodo
luz,Hacer
luz,Impedir
lágrima,Secreción
lámpara,Artefacto
léxico,Obra
líder,Persona
límite,Momento
línea,Dirección
línea,Señal
lógica,Disciplina
lógico,Persona
machetero,Persona
machetero,Peón
machincuepa,Voltereta
macho,Hombre
macizo,Persona
madame,Mujer
madre,Exclamación
madre,País
madre,Título
madrina,Individuo
madrina,Mujer
madrina,Tráiler
maestro,Albañil
maestro,Persona
mafioso,Delincuente
mafioso,Persona
mago,Persona
mahometano,Persona
majestad,Tratamiento
mal,Enfermedad
malabar,Persona
malabarista,Persona
malacate,Aparato
maleante,Persona
malecón,Muro
maleficio,Mal
malhechor,Persona
mamada,Tontería
mamila,Recipiente
manantial,Lugar
manazo,Golpe
mancha,Cosa
mandar,Expresar
mandar,Hacer
mando,Capacidad
manejador,Persona
manejar,Hacer
manga,Utensilio
manicurista,Persona
mano,Trabajo
mantenido,Persona
manómetro,Instrumento
maquinista,Persona
marchante,Persona
marchitar,Hacer
marco,Armazón
mariguano,Persona
marinado,Tratamiento
marinero,Persona
marino,Militar
marioneta,Muñeco
maroma,Vuelta
marsupio,Bolsa
maría,Árbol
masa,Resistencia
masajista,Persona
mascar,Sospechar
mascarilla,Máscara
matadero,Lugar
matador,Torero
matemática,Ciencia
matemático,Persona
materialista,Persona
matriz,Molde
matrona,Mujer
matón,Persona
maya,Lengua
mayo,Lengua
mayonesa,Salsa
mayúscula,Letra
maña,Habilidad
mañana,Despedida
meandro,Curva
meca,Lugar
mecanicismo,Doctrina
mecanógrafo,Persona
mecánico,Persona
media,Cantidad
medianoche,Momento
medianía,Punto
medianía,Situación
medicamento,Sustancia
medicina,Ciencia
medidor,Aparato
medidor,Instrumento
mediero,Campesino
meditación,Reflexión
mejorador,Persona
memorandum,Libreta
memoria,Escrito
mención,Reconocimiento
mendigo,Persona
menisco,Lente
menonita,Persona
menor,Persona
mercader,Persona
mercadería,Cosa
mercado,Lugar
merced,Gracia
mercenario,Soldado
merecido,Castigo
meritorio,Persona
merolico,Persona
mesero,Persona
mesófita,Planta
metaloide,Elemento
metalurgia,Ciencia
metano,Hidrocarburo
meteorología,Ciencia
meteorólogo,Persona
meter,Hacer
meter,Lograr
metrópoli,País
mexicano,Persona
mezcla,Materia
microbiología,Ciencia
micrófono,Aparato
miedo,Sensación
miembro,Individuo
militar,Persona
milpa,Tierra
mimetismo,Propiedad
mimo,Persona
mina,Arma
mineral,Parte
mineralogía,Ciencia
minero,Persona
ministro,Persona
minúscula,Letra
mira,Objetivo
mirón,Persona
misionero,Persona
misión,Encargo
misión,Tarea
miss,Tratamiento
mixiote,Platillo
moción,Propuesta
moco,"Pene,"
modelo,Objeto
modernizar,Hacer
modestia,Sentimiento
modista,Persona
mofle,Dispositivo
mojado,Persona
mojar,Hacer
mojón,Piedra
mole,Platillo
molinete,Señal
molino,Construcción
molino,Instrumento
molleja,Carnosidad
monarquía,Tiempo
monosabio,Mozo
monotrema,Mamífero
monstruo,Persona
monstruo,Ser
montera,Gorra
montón,Cuidado
monumento,Obra
monóxido,Óxido
morador,Persona
moralista,Persona
moralizar,Hacer
mordedura,Herida
mordente,Sustancia
morfosintaxis,Parte
moro,Danza
mortaja,Hueco
mortificación,Asunto
mortificación,Castigo
moscatel,Vino
mostrar,Hacer
motivación,Cosa
motociclismo,Deporte
motor,Aparato
mover,Hacer
movilidad,Capacidad
mozo,Persona
mucama,Mujer
muchacha,Sirvienta
muchacho,Persona
mucosa,Membrana
mudéjar,Arte
mudéjar,Musulmán
muela,Diente
muestra,Modelo
mujeriego,Hombre
mula,Animal
mulato,Persona
mulero,Persona
multiplicador,Número
murmuración,Dicho
musgo,Clase
musicología,Disciplina
musulmán,Persona
mutis,Indicación
mánager,Persona
mártir,Persona
máscara,Cubierta
médico,Persona
ménsula,Elemento
método,Libro
mío,Indica
mística,Ideal
místico,Persona
módulo,Dimensión
música,Chiflido
músico,Persona
nacionalizar,Hacer
nadador,Persona
nagual,Animal
nagual,Persona
nahuatlato,Persona
naipe,Tarjeta
nana,Mujer
narcotraficante,Persona
narcótico,Sustancia
nariz,Encontrar
narrador,Persona
nata,Residuo
natación,Deporte
natural,Persona
naturalismo,Actitud
naufragio,Embarcación
naval,Lugar
navegante,Persona
nazareno,Persona
necio,Persona
negar,Decir
negar,Prohibir
negociante,Persona
negocio,Establecimiento
neurona,Célula
neurotrofia,Regulación
neurálgico,Lugar
neurólogo,Médico
nevería,Establecimiento
nexo,Palabra
nicho,Papel
nido,Lugar
nido,Refugio
nieve,Dulce
nitrato,Compuesto
nitrocelulosa,Sustancia
nitrofurano,Sustancia
nivel,Punto
niño,Persona
noble,Persona
noche,Saludo
nodriza,Hembra
nodriza,Mujer
norma,Criterio
normalizar,Hacer
nosotros,Indica
nota,Papel
noticia,Informe
noviazgo,Relación
novicio,Persona
novillero,Persona
novio,Persona
nube,Masa
nublazón,Nublado
nudo,Abultamiento
nueve,Número
náufrago,Persona
náusea,Repugnancia
núcleo,Palabra
o,Advierte
o,Señala
objeción,Derecho
objeto,Aquello
obligar,Hacer
obra,Objeto
obrero,Persona
obsequio,Objeto
observador,Persona
obstáculo,Cosa
oceanografía,Ciencia
oceanógrafo,Persona
ocho,Número
octano,Unidad
ocupante,Persona
ocurrencia,Cosa
ofertorio,Canto
oficial,Militar
oficial,Persona
oficialía,Oficina
oficiante,Persona
oficinista,Empleado
oficio,Función
ofrenda,Objeto
ofrendante,Persona
ofuscar,Provocar
ogro,Persona
ojiva,Arco
ojo,Agujero
oleaginoso,Planta
olán,Adorno
once,Número
onda,Corriente
onda,Movimiento
opacar,Hacer
opción,Facultad
operador,Persona
opio,Sustancia
orador,Persona
orbital,Órbita
orden,Honor
ordenanza,Soldado
ordeñador,Persona
orfebre,Persona
organicismo,Doctrina
organizador,Persona
orgía,Reunión
orientación,Capacidad
ornamento,Adorno
ornato,Adorno
oruga,Vehículo
oscilógrafo,Instrumento
osteíctio,Pez
otorgante,Persona
ovoide,Balón
ovíparo,Animal
oxácido,Ácido
oyente,Persona
ozono,Oxígeno
pabellón,Velo
paciente,Persona
pacifista,Persona
pacto,Acuerdo
padre,Hombre
padre,Título
padrino,Hombre
padrote,Hombre
paisaje,Conjunto
pala,Máquina
palabra,Asegurarle
paladín,Persona
palanca,Barra
palanca,Influencia
palanca,Manija
paletería,Establecimiento
palma,Familia
palmada,Ruido
palmácea,Planta
palo,Intento
palo,"Árbol,"
paloma,Dibujo
paloma,Trazo
pambazo,Antojito
panadero,Persona
pandemia,Fenómeno
pandillero,Persona
panel,Camioneta
panorama,Aspecto
pantalla,Objeto
panza,Platillo
papa,Sobrenombre
papada,Piel
papel,Función
papel,Hoja
papelito,Expresión
papirola,Figura
par,Elemento
paradoja,Contradicción
paralelismo,Relación
paralelogramo,Cuadrilátero
paramédico,Persona
parar,Impedir
parentesco,Relación
paria,Persona
paridero,Lugar
parlamentario,Persona
parlamento,Lugar
parrilla,Armazón
parte,Noticia
partero,Persona
participante,Persona
partición,Parte
parábola,Línea
parásito,Ruido
paréntesis,Enunciado
pasa,Uva
pasado,Tiempo
pasador,Varilla
pasaje,Dinero
pasajero,Persona
pasante,Persona
pasaporte,Documento
pasar,Hacer
pase,Documento
pase,Movimiento
paso,Espacio
pastel,Platillo
pastelería,Establecimiento
pastor,Hombre
pastor,Persona
pata,Arrugas
patada,Golpe
patente,Derecho
patente,Privilegio
patinaje,Deporte
patria,País
patriarca,Hombre
patriota,Persona
patronato,Corporación
patrono,Persona
patrón,Objeto
patrón,Persona
patín,Juguete
pay,Pastel
payaso,Persona
país,Territorio
paño,Persona
pañuelo,Prenda
peaje,Pago
peatón,Persona
pecado,Acto
pecador,Persona
pectina,Sustancia
pedagogo,Persona
pedagogía,Disciplina
pedicurista,Persona
pedología,Ciencia
pegamento,Sustancia
pegar,Hacer
peinado,Arreglo
peine,Utensilio
pelado,Persona
pelaje,Pelo
peletería,Tienda
pelota,Hacer
peluquero,Persona
pelón,Persona
pena,Castigo
pena,Vergüenza
penalidad,Castigo
pendejada,Tontería
penetración,Capacidad
pensador,Persona
pensamiento,Capacidad
pentecostal,Persona
pepenador,Persona
pepenche,Persona
percance,Accidente
percepción,Dinero
percha,Gancho
percha,Palo
percutor,Pieza
perdonar,Permitir
peregrinación,Viaje
peregrino,Persona
perfección,Cosa
perfectivo,Aspecto
perfil,Línea
perforado,Aspecto
perfume,Sustancia
perfumería,Establecimiento
perilla,Barba
periodista,Persona
periodo,Tiempo
perito,Persona
permeabilidad,Propiedad
permisionario,Persona
perpetuar,Hacer
persistencia,Fenómeno
persona,Individuo
personaje,Persona
personalidad,Persona
pertenencia,Cosas
perífrasis,Construcción
pescador,Persona
pesquisa,Búsqueda
pestaña,Borde
petroquímica,Industria
peyote,Cactus
pezón,Rabito
peón,Persona
pial,Lazada
pianista,Persona
pianola,Piano
pica,Carta
picapedrero,Persona
picapleitos,Persona
pick up,Camioneta
pie,Indicación
pigmento,Sustancia
pila,Recipiente
pilar,Columna
pimienta,Fruto
pincelada,Trazo
ping pong,Juego
pinnípedo,Mamífero
pintor,Persona
pintura,Obra
pinza,Pliegue
pionero,Persona
piqué,Paso
pirata,Navegante
pirinda,Matlatzinca
pirinola,Juguete
pisada,Huella
pisada,Sentir
pistola,Herramienta
pistolero,Hombre
plagiario,Persona
plaguicida,Sustancia
planisferio,Mapa
plano,Dibujo
plano,Superficie
plantador,Persona
plasticidad,Capacidad
plasticidad,Propiedad
platero,Persona
platería,Lugar
plaza,Puesto
plebeyo,Persona
plegar,Hacer
pliego,Impreso
plomada,Pesa
plomero,Hombre
plomo,Pesa
plural,Número
pluralismo,Doctrina
plusvalía,Diferencia
plática,Conferencia
poco,Expresión
podadora,Máquina
poder,Capacidad
poeta,Persona
polarización,Alteración
polarizar,Proceso
polea,Rueda
politología,Disciplina
politólogo,Persona
poliácido,Base
polvera,Cajita
político,Persona
pompa,Burbuja
ponderación,Énfasis
ponente,Persona
poner,Hacer
por,Signo
porcentaje,Relación
porción,Parte
porrista,Persona
porro,Persona
portador,Persona
portaviandas,Utensilio
porte,Peso
porte,Precio
poseedor,Persona
posesión,Objeto
posible,Hacer
posición,Lugar
posta,Establo
posta,Lugar
postor,Persona
postulado,Proposición
postura,Precio
potencia,Capacidad
poza,Agujero
pozo,Tortura
practicante,Persona
precocidad,"Madurez,"
predecesor,Individuo
predicador,Persona
predicamento,Situación
predilección,Preferencia
predisponer,Lograr
preferir,Decidir
prefijo,Morfema
pregón,Anuncio
prehistoria,Disciplina
premeditación,Planeación
premio,Objeto
prenda,Objeto
prendedor,Adorno
prender,Hacer
prensa,Máquina
preparado,Medicamento
presentación,Apariencia
presentimiento,Sensación
preservativo,Sustancia
presidente,Persona
presión,Esfuerzo
presión,Fuerza
preso,Persona
prestamista,Persona
prestanombres,Individuo
presunción,Principio
presupuesto,Cálculo
pretendido,Persona
pretendiente,Persona
pretérito,Forma
prevención,Cálculo
prever,Anticipar
prima,Cantidad
princesa,Mujer
prisionero,Persona
privado,Lugar
privar,Hacer
privilegio,Permiso
probabilidad,Relación
problema,Planteamiento
prociónido,Familia
procurador,Abogado
procurador,Persona
producto,Cantidad
productor,Persona
profesional,Persona
profesionalismo,Carácter
profesionista,Persona
profesor,Persona
profeta,Persona
profundidad,Distancia
programador,Persona
prohibición,Declaración
prohijar,Permitir
proletario,Persona
promedio,Resultado
promesa,Persona
prometido,Persona
promotor,Persona
promover,Hacer
pronunciamiento,Anuncio
pronóstico,Anuncio
propaganda,Cosa
propagar,Hacer
propiedad,Derecho
propina,Dinero
propio,Expresión
propio,Mensajero
propulsión,Fuerza
propulsión,Impulso
propósito,Voluntad
prospecto,Persona
prostituta,Mujer
prosélito,Persona
protagonista,Persona
protegido,Persona
protocordado,Grupo
prototipo,Persona
providencia,Cuidado
provisión,Reserva
provocar,Hacer
proyección,Operación
proyectil,Objeto
proyectista,Persona
proyecto,Idea
proyector,Aparato
prueba,Impresión
práctico,Hombre
práctico,Marino
prólogo,Cosa
prólogo,Escrito
psicoanalista,Persona
psicoanálisis,Disciplina
psicodinámica,Disciplina
psicofisiología,Disciplina
psicología,Ciencia
psicoterapeuta,Psicólogo
psicólogo,Persona
psicótico,Persona
pss,Expresión
pubis,Hueso
publicista,Persona
puchero,Gesto
puchero,Platillo
pudor,Vergüenza
pueblo,Población
puente,Elemento
puente,Tablilla
puerco,Persona
puerta,Impedir
puesto,Lugar
puja,Oferta
pulga,Insecto
pulpa,Pasta
puntal,Estaca
puntapié,Golpe
puntera,Protección
puntero,Sembrador
punto,Signo
purga,Medicamento
purgante,Medicina
puta,Mujer
puñetazo,Golpe
pánico,Miedo
párroco,Sacerdote
póster,Cartel
queda,Tiempo
quejido,Ruido
quemadura,Lesión
quemón,Prueba
querella,Motivo
quicio,Hacer
quiebra,Situación
quilópodo,Miriápodo
quince,Fiesta
quince,Número
quincena,Salario
quitar,Hacer
quitar,Impedir
química,Ciencia
química,Disciplina
químico,Persona
rabo,Ángulo
racimo,Medida
racionalidad,Cualidad
radar,Aparato
ramilla,División
ranchero,Persona
rancho,Comida
rapto,Delito
rasgo,Acto
rasgueo,Ruido
raspador,Instrumento
rastreador,Instrumento
rastrillo,Herramienta
rastrillo,Instrumento
rata,Persona
ratón,Roedor
raya,Línea
razón,Aceptar
razón,Cociente
razón,Justificación
raíz,Propiedades
reacción,Aquella
reacción,Respuesta
reactividad,Capacidad
reactivo,Sustancia
reactor,Aparato
reactor,Avión
realismo,Actitud
realizador,Persona
realzar,Hacer
reanimar,Hacer
rebelde,Persona
reblandecer,Hacer
rebuzno,Tontería
rebuzno,Voz
recamarera,Mujer
rechinar,Hacer
rechinido,Ruido
recibo,Documento
recipiente,Utensilio
recitador,Persona
reclamo,Sonido
recluta,Persona
recogido,Niño
recolector,Persona
recompensa,Cosa
recompensa,Dinero
reconocer,Aceptar
reconvención,Facultad
record,Hecho
recordar,Hacer
recordatorio,Aviso
recorte,Crítica
recorte,Quiebre
recreación,Actividad
recreo,Pausa
recta,Línea
rector,Persona
recuerdo,Objeto
recuperar,Hacer
recurrente,Persona
recíproco,Oración
redactor,Persona
redonda,Nota
redondear,Hacer
refacción,Pieza
refajo,Falda
referencia,Informe
reflejo,Destello
reflejo,Imagen
reforzar,Hacer
refractar,Hacer
refrigerante,Sustancia
refugiado,Persona
refugio,Lugar
regadera,Utensilio
regalo,Cosa
regalías,Retribución
regazo,Lugar
regenerar,Hacer
regente,Persona
registro,Institución
registro,Oficina
regresar,Hacer
regular,Hacer
regularizar,Hacer
rehabilitar,Hacer
reina,Mujer
reiniciar,Hacer
reja,Zurcido
rejeguero,Persona
rejilla,Caja
relación,Narración
relativo,Palabra
relator,Persona
relevo,Persona
relieve,Parte
religioso,Persona
rellena,Embutido
relleno,Cosa
reloj,Instrumento
relojería,Tienda
remiendo,Reparación
remitente,Persona
remo,Caballo
remuneración,Pago
renacentista,Persona
renovar,Hacer
rentabilidad,Beneficio
reo,Persona
reparación,Compensación
reparador,Persona
reparo,Objeción
reportero,Periodista
represa,Construcción
represalia,Acción
representado,Persona
representante,Persona
repuesto,Objeto
repulsión,Propiedad
república,País
res,Gallo
resabio,Resto
rescate,Estrategia
rescate,Precio
resecar,Hacer
reserva,Territorio
resguardo,Vigilancia
residencia,Casa
residencia,Permiso
resina,Sustancia
resistencia,Dispositivo
resolución,Decisión
resonancia,Sonido
respuesta,Cosa
respuesta,Solución
restablecer,Hacer
restaurantero,Empresario
resto,Parte
resucitar,Hacer
retinto,Ladrón
retraer,Hacer
retrospectiva,Exposición
revelador,Sustancia
reventador,Persona
revés,Golpe
rey,Hombre
rezago,Retraso
rezandero,Persona
ribete,Compensación
riflero,Soldado
rivalidad,Enemistad
rizópodo,Protozoario
riñón,Aparato
riñón,Recipiente
roca,Bloque
rodar,Dejar
roedor,Orden
rol,Calendario
rollo,Cilindro
romana,Instrumento
rombo,Paralelogramo
romboide,Paralelogramo
romero,Persona
rompecabezas,Pasatiempo
romper,Hacer
ronda,Canción
ronda,Trayecto
ronquido,Ruido
roto,Persona
rubiácea,Familia
ruborizar,Hacer
ruina,Parte
rumano,Lengua
rumbo,Camino
rumiante,Mamífero
rumor,Noticia
rural,Persona
ruta,Camino
ráyido,Pez
rédito,Interés
réplica,Objeción
sabino,Caballo
sablazo,Golpe
sabor,Sensación
saborizante,Sustancia
sabotaje,Daño
